"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1342","Then Url should match https://webdriver.io/","","Wed Jun 26 15:22:00 IST 2024","broken","Wed Jun 26 15:22:01 IST 2024","","Demo feature: Running the first automation script","",""
"","2879","Given Web Page is opened","","Tue Jul 02 21:21:13 IST 2024","passed","Tue Jul 02 21:21:16 IST 2024","","Web interactions: Web Interactions using locators","",""
"","2650","Given Alerts Web Page is opened","","Sat Dec 07 16:39:32 IST 2024","passed","Sat Dec 07 16:39:34 IST 2024","","Web interactions: Web Interactions using locators","",""
"","19320","When User selects the checkbox","","Wed Jul 03 16:01:21 IST 2024","passed","Wed Jul 03 16:01:41 IST 2024","","Web interactions: Web Interactions using locators","",""
"","8183","Given Google page is opened","","Wed Jun 26 15:21:49 IST 2024","passed","Wed Jun 26 15:21:57 IST 2024","","Demo feature: Running the first automation script","",""
"","1367","Then Click on first search item","","Wed Jun 26 15:22:00 IST 2024","passed","Wed Jun 26 15:22:01 IST 2024","","Demo feature: Running the first automation script","",""
"","12377","Running the first automation script","","Wed Jun 26 18:58:29 IST 2024","failed","Wed Jun 26 18:58:42 IST 2024","","Demo feature","",""
"","32903","When User clicks the generate alerts button","","Sat Dec 07 16:39:34 IST 2024","passed","Sat Dec 07 16:40:07 IST 2024","","Web interactions: Web Interactions using locators","",""
"","3107","Then Search the keyword WDIO","","Wed Jun 26 15:21:57 IST 2024","passed","Wed Jun 26 15:22:00 IST 2024","","Demo feature: Running the first automation script","",""
"","1","hook:","","Sat Dec 07 16:40:07 IST 2024","failed","Sat Dec 07 16:40:07 IST 2024","","","",""
"","103","Web Interactions using locators","","Thu Jun 27 20:47:02 IST 2024","broken","Thu Jun 27 20:47:02 IST 2024","","Web interactions","",""
"","60","When user validates the dropdown","","Tue Jul 02 21:21:16 IST 2024","passed","Tue Jul 02 21:21:16 IST 2024","","Web interactions: Web Interactions using locators","",""
"","2866","Given checkbox Web Page is opened","","Wed Jul 03 16:01:19 IST 2024","passed","Wed Jul 03 16:01:21 IST 2024","","Web interactions: Web Interactions using locators","",""
"","1","hook:","","Wed Jun 26 15:22:01 IST 2024","failed","Wed Jun 26 15:22:01 IST 2024","","","",""
"","60","When user performs web interactions","","Tue Jul 02 21:16:21 IST 2024","passed","Tue Jul 02 21:16:21 IST 2024","","Web interactions: Web Interactions using locators","",""
